City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
253,Udachnyy,RU,66.4167,112.4,22.15,82,90,8.86,overcast clouds
254,Hirara,JP,24.8,125.2833,80.6,65,40,13.8,scattered clouds
255,Florianopolis,BR,-27.6146,-48.5012,73.4,83,0,3.44,clear sky
256,Bathsheba,BB,13.2167,-59.5167,78.8,69,40,13.8,volcanic ash
257,Kasempa,ZM,-13.4584,25.8338,57.6,97,37,4.94,scattered clouds
258,Hofn,IS,64.2539,-15.2082,39.42,71,100,9.78,light rain
259,Mgachi,RU,51.05,142.2667,39.7,77,100,3.94,overcast clouds
260,Savinka,RU,50.0785,47.0994,56.66,53,86,9.6,overcast clouds
261,Brigantine,US,39.4101,-74.3646,54.0,100,90,13.8,mist
262,Chicama,PE,-7.8447,-79.1469,70.36,79,85,3.56,overcast clouds
263,Severnyy,RU,50.677,36.5532,46.4,61,0,11.18,clear sky
264,Bambous Virieux,MU,-20.3428,57.7575,81.0,89,75,1.14,light rain
265,Kharp,RU,66.8014,65.8081,30.83,82,56,20.15,light snow
266,Polewali,ID,-3.4324,119.3435,87.13,64,54,5.23,broken clouds
267,San Quintin,MX,30.4833,-115.95,58.08,88,4,6.55,clear sky
268,Vao,NC,-22.6667,167.4833,74.19,89,100,8.97,light rain
269,Sete Lagoas,BR,-19.4658,-44.2467,64.4,77,0,2.3,clear sky
270,Vila Velha,BR,-20.3297,-40.2925,75.99,94,20,3.44,few clouds
271,Yerbogachen,RU,61.2767,108.0108,30.0,76,93,4.03,overcast clouds
272,Chernyshevskiy,RU,63.0128,112.4714,21.94,69,6,3.47,clear sky
273,Sorland,NO,67.667,12.6934,36.41,61,100,11.03,overcast clouds
274,Wewak,PG,-3.5534,143.6268,82.13,72,100,2.15,overcast clouds
275,Tazovskiy,RU,67.4667,78.7,32.09,88,100,20.87,light snow
276,Geraldton,AU,-28.7667,114.6,73.4,78,75,25.32,broken clouds
277,Sawtell,AU,-30.3833,153.1,68.0,37,0,9.22,clear sky
278,Havre-Saint-Pierre,CA,50.2334,-63.5986,46.4,76,20,14.97,few clouds
279,Atikokan,CA,48.7555,-91.6216,37.08,94,100,10.07,light rain
280,Noumea,NC,-22.2763,166.4572,80.01,94,90,6.91,light rain
281,Great Yarmouth,GB,52.6083,1.7305,32.0,93,40,8.05,scattered clouds
282,Paciran,ID,-6.8767,112.3761,85.39,68,47,2.95,scattered clouds
283,Santa Isabel Do Rio Negro,BR,-0.4139,-65.0192,72.21,99,100,3.11,overcast clouds
284,Sao Joao Da Barra,BR,-21.6403,-41.0511,73.58,86,0,11.01,clear sky
285,Juneau,US,58.3019,-134.4197,35.6,69,90,10.36,light snow
286,Alugan,PH,12.2188,125.4808,84.29,70,47,11.5,scattered clouds
287,Port Elizabeth,ZA,-33.918,25.5701,62.6,100,90,3.29,overcast clouds
288,Sinjar,IQ,36.3209,41.8754,52.14,46,50,5.03,scattered clouds
289,Wanning,CN,18.8003,110.3967,83.43,57,69,4.83,broken clouds
290,Waipawa,NZ,-41.4122,175.5153,69.8,60,100,14.97,overcast clouds
291,Riesa,DE,51.3,13.3,37.0,93,75,10.36,light rain
292,Truth Or Consequences,US,33.1284,-107.2528,71.6,10,1,8.05,clear sky
293,Mehamn,NO,71.0357,27.8492,32.54,67,95,29.33,light snow
294,Thunder Bay,CA,48.4001,-89.3168,44.6,93,90,9.22,overcast clouds
295,Taysan,PH,13.8697,121.0971,84.0,73,89,8.01,overcast clouds
296,Kavaratti,IN,10.5669,72.642,83.3,70,15,3.96,few clouds
297,Ahipara,NZ,-35.1667,173.1667,70.05,81,86,4.7,overcast clouds
298,Maua,BR,-23.6678,-46.4614,71.01,56,0,6.91,clear sky
299,Luanda,AO,-8.8368,13.2343,78.8,83,75,5.75,broken clouds
