City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
272,Houma,US,2021-04-06 21:14:55,29.5958,-90.7195,81.0,69,40,14.32
273,Puerto Leguizamo,CO,2021-04-06 21:17:27,-0.1934,-74.7819,81.46,71,94,1.77
274,Oxapampa,PE,2021-04-06 21:17:27,-10.5775,-75.4017,65.79,83,100,1.25
275,Nurota,UZ,2021-04-06 21:17:28,40.5614,65.6886,50.0,71,1,9.22
276,Cidreira,BR,2021-04-06 21:17:28,-30.1811,-50.2056,73.78,81,0,13.42
277,Skibbereen,IE,2021-04-06 21:17:28,51.55,-9.2667,39.2,60,20,6.91
278,Mildura,AU,2021-04-06 21:17:28,-34.2,142.15,50.0,76,0,4.61
279,Paamiut,GL,2021-04-06 21:17:29,61.994,-49.6678,32.31,99,100,2.39
280,Strezhevoy,RU,2021-04-06 21:14:18,60.7333,77.5889,32.0,100,90,11.18
281,Braganca Paulista,BR,2021-04-06 21:17:29,-22.94,-46.5556,71.6,94,75,3.44
282,Gorin,RU,2021-04-06 21:17:29,51.1983,136.6669,23.04,93,100,5.79
283,Coihaique,CL,2021-04-06 21:17:30,-45.5752,-72.0662,59.0,63,75,5.75
284,Izmaylovo,RU,2021-04-06 21:17:30,53.7211,47.2458,32.18,97,100,8.28
285,Palizada,MX,2021-04-06 21:17:30,18.25,-92.0833,87.8,45,90,10.36
286,Lazurne,UA,2021-04-06 21:17:31,46.084,32.5295,48.0,100,100,8.95
287,Pathein,MM,2021-04-06 21:17:31,16.7833,94.7333,75.6,90,7,4.29
288,Piacabucu,BR,2021-04-06 21:17:31,-10.4056,-36.4344,78.49,73,36,8.1
289,Doclin,RO,2021-04-06 21:17:32,45.2969,21.6539,36.0,87,90,9.22
290,Bafoulabe,ML,2021-04-06 21:17:32,13.8065,-10.8321,96.21,8,0,3.4
291,Pafos,CY,2021-04-06 21:17:32,34.7667,32.4167,59.0,51,0,3.44
292,Saint-Joseph,RE,2021-04-06 21:17:33,-21.3667,55.6167,78.8,69,0,5.75
